Make;Model;Type;Origin;Cost;HP;MPG2;MPG1;Wg;OriginQuanti
Subaru; Outback H-6 VDC 4dr;Sedan;Asia;31545;212;19;26;3630;2
Subaru; Impreza WRX 4dr;Sports;Asia;25045;227;20;27;3085;2
Subaru; Impreza WRX STi 4dr;Sports;Asia;31545;300;18;24;3263;2
Subaru; Baja;Truck;Asia;24520;165;21;28;3485;2
Subaru; Forester X;Wagon;Asia;21445;165;21;28;3090;2
Subaru; Outback;Wagon;Asia;23895;165;21;28;3430;2
Suzuki; XL-7 EX;SUV;Asia;23699;185;18;22;3682;2
Suzuki; Vitara LX;SUV;Asia;17163;165;19;22;3020;2
Suzuki; Aeno S 4dr;Sedan;Asia;12884;155;25;31;2676;2
Suzuki; Aerio LX 4dr;Sedan;Asia;14500;155;25;31;2676;2
Suzuki; Forenza S 4dr;Sedan;Asia;12269;119;24;31;2701;2
Suzuki; Forenza EX 4dr;Sedan;Asia;15568;119;22;30;2756;2
Suzuki; Verona LX 4dr;Sedan;Asia;17262;155;20;27;3380;2
Suzuki; Aerio SX;Wagon;Asia;16497;155;24;29;2932;2
Toyota; Prius 4dr (gas/electric);Hybrid;Asia;20510;110;59;51;2890;2
Toyota; Sequoia SR5;SUV;Asia;35695;240;14;17;5270;2
Toyota; 4Runner SR5 V6;SUV;Asia;27710;245;18;21;4035;2
Toyota; Highlander V6;SUV;Asia;27930;230;18;24;3935;2
Toyota; Land Cruiser;SUV;Asia;54765;325;13;17;5390;2
Toyota; RAV4;SUV;Asia;20290;161;22;27;3119;2
Toyota; Corolla CE 4dr;Sedan;Asia;14085;130;32;40;2502;2
Toyota; Corolla S 4dr;Sedan;Asia;15030;130;32;40;2524;2
Toyota; Corolla LE 4dr;Sedan;Asia;15295;130;32;40;2524;2
Toyota; Echo 2dr manual;Sedan;Asia;10760;108;35;43;2035;2
Toyota; Echo 2dr auto;Sedan;Asia;11560;108;33;39;2085;2
Toyota; Echo 4dr;Sedan;Asia;11290;108;35;43;2055;2
Toyota; Camry LE 4dr;Sedan;Asia;19560;157;24;33;3086;2
Toyota; Camry LE V6 4dr;Sedan;Asia;22775;210;21;29;3296;2
Toyota; Camry Solara SE 2dr;Sedan;Asia;19635;157;24;33;3175;2
Toyota; Camry Solara SE V6 2dr;Sedan;Asia;21965;225;20;29;3417;2
Toyota; Avalon XL 4dr;Sedan;Asia;26560;210;21;29;3417;2
Toyota; Camry XLE V6 4dr;Sedan;Asia;25920;210;21;29;3362;2
Toyota; Camry Solara SLE V6 2dr;Sedan;Asia;26510;225;20;29;3439;2
Toyota; Avalon XLS 4dr;Sedan;Asia;30920;210;21;29;3439;2
Toyota; Sienna CE;Sedan;Asia;23495;230;19;27;4120;2
Toyota; Sienna XLE Limited;Sedan;Asia;28800;230;19;27;4165;2
Toyota; Celica GT-S 2dr;Sports;Asia;22570;180;24;33;2500;2
Toyota; MR2 Spyder convertible 2dr;Sports;Asia;25130;138;26;32;2195;2
Toyota; Tacoma;Truck;Asia;12800;142;22;27;2750;2
Toyota; Tundra Regular Cab V6;Truck;Asia;16495;190;16;18;3925;2
Toyota; Tundra Access Cab V6 SR5;Truck;Asia;25935;190;14;17;4435;2
Toyota; Matrix XR;Wagon;Asia;16695;130;29;36;2679;2
Volkswagen; Touareg V6;SUV;Europe;35515;220;15;20;5086;1
Volkswagen; Golf GLS 4dr;Sedan;Europe;18715;115;24;31;2897;1
Volkswagen; GTI 1.8T 2dr hatch;Sedan;Europe;19825;180;24;31;2934;1
Volkswagen; Jetta GLS TDI 4dr;Sedan;Europe;21055;100;38;46;3003;1
Volkswagen; New Beetle GLS 1.8T 2dr;Sedan;Europe;21055;150;24;31;2820;1
Volkswagen; Jetta GLI VR6 4dr;Sedan;Europe;23785;200;21;30;3179;1
Volkswagen; New Beetle GLS convertible 2dr;Sedan;Europe;23215;115;24;30;3082;1
Volkswagen; Passat GLS 4dr;Sedan;Europe;23955;170;22;31;3241;1
Volkswagen; Passat GLX V6 4MOTION 4dr;Sedan;Europe;33180;190;19;26;3721;1
Volkswagen; Passat W8 4MOTION 4dr;Sedan;Europe;39235;270;18;25;3953;1
Volkswagen; Phaeton 4dr;Sedan;Europe;65000;335;16;22;5194;1
Volkswagen; Phaeton W12 4dr;Sedan;Europe;75000;420;12;19;5399;1
Volkswagen; Jetta GL;Wagon;Europe;19005;115;24;30;3034;1
Volkswagen; Passat GLS 1.8T;Wagon;Europe;24955;170;22;31;3338;1
Volkswagen; Passat W8;Wagon;Europe;40235;270;18;25;4067;1
Volvo; XC90 T6;SUV;Europe;41250;268;15;20;4638;1
Volvo; S40 4dr;Sedan;Europe;25135;170;22;29;2767;1
Volvo; S60 2.5 4dr;Sedan;Europe;31745;208;20;27;3903;1
Volvo; S60 T5 4dr;Sedan;Europe;34845;247;20;28;3766;1
Volvo; S60 R 4dr;Sedan;Europe;37560;300;18;25;3571;1
Volvo; S80 2.9 4dr;Sedan;Europe;37730;208;20;28;3576;1
Volvo; S80 2.5T 4dr;Sedan;Europe;37885;194;20;27;3691;1
Volvo; C70 LPT convertible 2dr;Sedan;Europe;40565;197;21;28;3450;1
Volvo; C70 HPT convertible 2dr;Sedan;Europe;42565;242;20;26;3450;1
Volvo; S80 T6 4dr;Sedan;Europe;45210;268;19;26;3653;1
Volvo; V40;Wagon;Europe;26135;170;22;29;2822;1
Volvo; XC70;Wagon;Europe;35145;208;20;27;3823;1
